,TSPAN6,TNMD,DPM1,SCYL3,C1orf112,FGR,CFH,FUCA2,GCLC,NFYA,STPG1,NIPAL3,LAS1L,ENPP4,SEMA3F,CFTR,ANKIB1,KRIT1,RAD52,BAD,LAP3,CD99,HS3ST1,WNT16,HECW1,MAD1L1,LASP1,SNX11,TMEM176A,M6PR,KLHL13,CYP26B1,ICA1,DBNDD1,ALS2,CASP10,CFLAR,TFPI,NDUFAF7,RBM5,MTMR7,SLC7A2,ARF5,SARM1,POLDIP2,PLXND1,AK2,CD38,FKBP4,KDM1A,RBM6,CAMKK1,RECQL,CCDC132,HSPB6,ARHGAP33,NDUFAB1,PDK4,SLC22A16,ZMYND10,ABCB5,ARX,SLC25A13,ST7,CDC27,SLC4A1,CALCR,HCCS,DVL2,PRSS22,UPF1,SKAP2,SLC25A5,CCDC109B,HOXA11,POLR2J,MEOX1,THSD7A,LIG3,RPAP3,ACSM3,CIAPIN1,SPPL2B,FAM214B,COPZ2,PRKAR2B,MSL3,CREBBP,BZRAP1,MPO,PON1,GCFC2,WDR54,CROT,ABCB4,RHBDD2,SOX8,IBTK,ZNF195,MYCBP2
COSMIC_910784,6.272467178,2.732715289,9.792583032,5.050348424,3.089669481,3.117693925,6.396319186,8.903455675,4.521178501,5.235189175,3.588436993,5.805354303,3.713725457,3.341182268,4.240172969,2.895326016,8.241212746,3.723900328,3.854605856,6.842895644,6.151536294,10.45416039,2.987058346,2.702856324,2.678896344,5.123596003,4.082035047,4.40308995,3.093971096,8.318626666,3.707632576,2.967945862,3.249708558,3.528029431,3.662325868,3.193468624,4.97807468,3.745580736,6.42749219,8.746665198,3.297708292,4.464981999,8.588343618,3.750194392,6.890202339,5.266188152,6.237980135,3.221607356,6.9523472,9.142201003,5.819033611,4.156629211,7.628941401,3.410854908,2.857302603,3.05452397,11.02379623,2.956549332,3.353736441,3.270220266,2.850808936,5.853325126,5.88149289,5.071129025,8.00802932,3.15384785,3.143995993,5.568279763,5.258988167,3.198789,5.24523736,5.460696904,11.26310548,3.217570644,2.808406837,9.056225852,3.533775053,3.011648952,4.455516296,8.184832247,6.365101211,5.591718969,3.786647231,4.043118115,4.421569813,2.999677512,3.542652207,5.816918579,3.509817471,3.215286668,2.763204978,6.269071862,8.003349491,3.643254497,3.001504155,8.060010913,4.101262982,7.919673322,7.280111675,8.770474383
COSMIC_910849,7.832517099,2.943548633,9.684757263,4.463597183,3.756767531,3.312223272,3.687541372,8.294626677,6.471283292,5.680288497,4.354219514,8.068045845,4.123130014,4.103542302,4.278813718,3.403703871,7.887688845,3.33571053,4.594151725,8.02452165,4.823201325,7.824909054,2.822623603,2.93787772,3.121177026,8.302704554,4.133498598,5.453487199,2.955117061,8.524808468,3.302066899,2.924795604,2.969130667,3.510525434,4.076350368,3.009409571,4.20378087,7.438720618,5.984885563,8.26986047,3.392924645,3.168779518,8.452906282,4.802163781,7.463905293,3.69724552,6.394444539,3.619545251,6.504511372,9.49700961,4.912472995,5.814859523,9.205584554,4.408338782,2.888019536,3.222823033,11.12131908,3.026340567,3.01607213,3.484838994,2.974832259,2.834840543,6.503227125,5.633904728,8.573154607,3.111639213,3.205030441,6.65290634,5.198471009,3.075411392,5.53687752,7.505774264,11.69945033,3.976847968,3.490082189,9.066864114,2.975843132,5.5706096,3.939216086,7.492044676,4.253118926,5.522481552,3.448243103,3.895937213,8.909740316,2.702033296,3.653478928,5.671782404,3.633116855,3.43273732,2.870440984,5.421766087,9.767908185,4.09923028,3.051874212,6.023786469,3.187950154,7.353712791,6.372951867,7.566468914
COSMIC_910850,8.599629385,2.812449456,10.50471854,3.721712204,3.106173868,3.269566358,3.105148569,9.104584347,7.561883047,5.123492781,3.66907721,6.818398823,3.503982035,3.35504628,4.629783561,3.027606903,7.262581438,3.619817072,3.536720361,5.352373619,7.921580066,8.959067656,3.078901506,2.910273253,2.972841335,5.364378629,4.090970364,4.759498842,3.15833517,8.804544478,3.400333321,2.903645822,3.134515411,4.505602716,4.016303836,3.49165043,6.683872914,12.05219339,6.448042804,8.686874746,3.325565662,8.896634768,8.160881811,3.260115,7.547285971,5.965560182,6.387802545,3.305008197,7.574010904,9.110392718,5.774962902,4.232474239,5.909434591,3.736225763,2.860967718,3.181489378,11.09462425,2.880805532,3.484931997,2.898408925,2.932116482,2.919002068,8.161097066,6.364560122,7.195489125,3.248963315,3.099064117,7.017767629,4.50190721,3.248541051,7.067685497,7.034302841,11.9618577,3.651848588,3.08674495,8.625156717,3.207493833,2.986360814,4.171260152,6.267545307,6.155241981,6.339189043,3.592675304,3.434762867,4.02034439,3.014451732,3.699338783,6.495257007,3.792834009,3.316004563,3.172908217,5.766331253,3.163886988,3.212586059,7.021392464,7.133772513,4.556261531,7.682999028,6.370531468,8.031617029
COSMIC_910851,7.87842557,2.825523489,9.933094574,4.553938422,3.693324658,3.233814325,3.35190339,7.542323928,4.675678784,5.869454411,3.558924305,6.518205333,3.996106197,6.054767099,4.059399267,3.211140918,8.523619253,4.208973443,4.329230352,6.849115295,5.489559099,7.83608652,3.231513633,6.219161175,2.959120784,4.931826288,4.304793419,4.592779141,2.741880794,10.39068106,4.069107289,3.233710136,7.055086277,4.26853067,4.087916856,3.06610076,5.166925147,11.35020768,7.251616491,7.747760933,3.762142396,5.758501784,9.16179072,3.250890865,6.943603007,5.715062212,5.981447726,3.50633435,8.986874434,7.902845359,5.185802812,4.047843536,8.900222229,4.151662302,2.990378862,3.158248185,11.31255773,9.427080577,3.423999005,2.7930423,2.90121169,3.649866678,6.247396912,5.628811115,8.190133331,3.175443848,3.14438963,7.287834642,5.521837224,3.569941274,5.08267122,8.492208732,12.1066456,7.46664839,2.988741229,9.610864981,3.194628402,8.184206146,3.971065136,7.534552622,3.543466799,5.422792392,3.565235097,3.57844311,6.588636639,5.223654519,3.825237686,5.223695018,3.473187879,3.471638524,3.290164081,6.842819418,10.88777638,3.6417485,2.945563043,6.617031199,5.258867164,6.891541098,6.952753566,7.573048707
COSMIC_910852,9.568167294,2.714590906,10.12449464,4.010866295,3.535049117,3.301187224,5.971726592,7.83077574,6.072532135,4.918553326,4.431697237,7.428259969,4.226550456,6.230879793,4.315851555,2.963447052,8.653123621,3.611252068,3.216383529,7.323253363,7.50565571,8.09351508,3.986071092,3.23264412,2.643215179,5.109342435,4.620782699,5.344622822,3.058812786,9.532361246,3.861009586,2.853667089,6.989695665,3.940009314,3.573430403,3.245384881,6.249941516,9.291473894,5.907978429,7.456387429,3.186937324,2.928980274,9.534539655,3.11851152,7.000819577,4.432859541,6.378399917,3.122829785,7.334915434,10.056937,4.948790676,4.511105675,8.391671473,3.960722794,2.950202677,2.974851239,10.38196501,3.45080952,3.143609655,3.48766072,2.860000082,2.810395215,6.910458191,6.372488766,7.517672145,2.967776448,2.983321269,6.97770892,5.213955633,3.9034314,5.659545422,7.934246179,11.33056378,6.017824956,3.421680267,9.325372455,2.970444357,5.860891346,3.760810887,6.978876201,3.438981606,5.70335112,3.611563375,3.70406969,4.729836151,5.574709739,3.749490951,5.200825245,3.730915877,3.148027947,2.808956705,5.147683238,8.551086712,4.159433264,2.818827907,7.774887542,3.083862919,6.749593676,6.744179336,8.118206482
COSMIC_910853,8.338456965,2.697754949,10.1707568,4.209770845,4.007153751,3.111969113,2.97017627,6.007736718,4.003480626,5.584873269,3.41025916,7.150423125,4.028770214,4.007630462,3.71922188,3.08905724,7.981371373,4.218687644,3.243114304,7.272626885,6.735560667,9.129496725,3.109488103,2.853207913,2.856553432,7.329889886,4.061951025,4.916551736,3.038714037,8.997412195,3.29947406,3.57350348,5.220647719,4.062208349,3.880751821,2.861525323,3.778379857,6.188937399,6.130272245,8.24503051,3.484288766,8.508438175,8.91819293,4.202396086,7.302561009,4.602761998,6.668095913,3.198324435,7.094499864,9.349867947,5.319123803,4.070292222,10.07246745,4.089920005,2.840066061,3.025114664,11.47123402,3.170445029,3.136375068,2.951741271,2.959970737,3.119917863,7.440888768,5.862858353,8.156980993,2.885402876,3.056825592,7.141484081,5.112796521,2.962037096,6.017125857,7.355374262,12.03576979,5.65912741,3.097486188,10.02267425,3.017820132,3.621026682,4.448288211,7.410917641,5.19931893,6.146913924,3.775292484,3.182439847,7.252863057,4.935437819,4.01901483,5.359595232,3.386617172,3.311847834,3.037861626,6.022001201,9.357187986,3.805385583,6.2242088,8.960871913,9.872762415,7.338511029,7.779685517,7.298544193
COSMIC_910900,6.96161004,2.910828206,9.723431032,3.883745533,3.434129902,3.094114097,6.535783818,8.108132198,7.260229097,5.03421286,3.504070836,6.125197007,3.992965456,5.86640838,4.345444144,3.146513746,8.280608071,3.777069132,3.684814079,7.109497025,5.597378044,8.737785299,3.197411246,2.82326601,2.913977031,4.762079579,4.611434758,5.055565292,3.535666267,9.649030405,4.364289435,3.388543782,7.716628087,3.624836571,3.500840072,3.210652355,5.65939952,10.3452606,5.556207352,7.616834484,3.301824151,3.293706539,8.786419721,3.497704501,7.522608016,4.377759523,5.878755425,3.269255414,6.76473501,8.847187253,4.87428564,4.904311181,7.065822205,4.053987634,2.934040052,3.045686728,10.83479633,8.347023569,3.13482599,2.875716048,2.876176996,8.618323047,7.193704657,8.690554679,7.559706325,3.198364562,3.192088597,7.602869594,5.183405569,3.296757659,5.584556285,9.610394578,11.15196634,5.322575334,6.044348545,9.577458482,3.061639432,5.516478195,4.008083083,7.96402294,4.618356585,6.57125256,3.800115428,3.604761489,9.311057944,4.1435523,3.617455932,6.424097688,3.541974721,3.170882483,2.909029071,5.915460625,8.180800106,3.784054261,4.566940434,8.405063546,3.97676074,7.216596158,7.238644181,7.865341895
COSMIC_910903,6.073319592,3.091572546,10.57805592,3.563721965,3.308057186,3.11478935,3.464223357,8.506649062,4.797379843,4.850826181,3.960636188,6.513716392,4.268035284,3.439984395,4.129469222,3.032679499,8.537395055,3.506407857,3.671424013,6.718141955,7.036356061,9.547157563,2.979193856,2.942000195,2.955181525,9.101076197,4.360440645,4.631997617,3.069408492,9.719532033,3.252156983,3.632863609,3.711667071,3.55423955,4.204230526,3.277568294,5.794909418,8.758333663,6.139339239,8.276142287,3.222711365,3.238637542,7.463096695,3.667566123,7.293464352,5.699967166,6.148197227,3.064466282,7.520990969,8.748291197,5.56380691,4.685724391,7.614326868,3.730178626,2.854077894,2.923488837,10.53539055,3.08893737,2.965851852,2.873068305,2.876772376,3.05244549,6.362997306,5.323324148,7.275646258,3.043795948,2.928861378,7.747075509,5.011370373,3.009999803,6.220637198,8.143421568,10.61252915,5.239946893,3.60906502,9.366242544,3.012049369,2.760818129,4.390443289,6.712251541,4.278502954,5.336273278,3.577406755,4.083490483,8.146523573,3.110062611,3.607572123,5.393094793,3.509934965,3.365255131,2.939617217,4.954722821,9.904177648,3.415728977,3.373865197,7.632830803,2.740006292,6.878449827,6.317986192,7.96317194
COSMIC_910904,7.484283943,3.015613358,10.01017345,4.279891026,3.786333226,3.149948368,6.634980997,7.702892148,6.979245824,5.115486668,3.534507133,7.496225378,3.601922394,3.456101931,4.838103002,2.939080737,8.542529702,4.085818689,3.359810845,7.884886365,5.42873466,6.823197578,5.245821004,2.946991132,2.728507977,7.164936492,4.54397273,4.952958237,3.138103405,9.288113946,6.547271432,3.352370588,3.567272905,3.471168055,3.530754603,3.082459797,4.723945097,5.307559776,4.911959263,7.968976397,3.338306657,3.281754493,8.362099107,3.20113605,5.843965303,5.698648717,6.212421868,3.007566953,7.443914907,9.083872151,4.846990413,4.978531481,7.191630609,4.968862615,2.780359804,3.021532097,11.12467984,3.07259381,3.203216631,3.053563037,2.971444584,3.671737957,7.631494591,5.593553725,7.200453694,3.039578156,3.234809281,6.836492884,5.341755738,3.417311951,6.344481338,7.646032474,12.22993277,4.15877544,4.794215813,8.506659938,3.173937888,2.857667554,3.696493083,6.389219605,4.096629398,6.010661009,3.438109217,4.296210231,9.204482389,3.397732522,3.494418795,6.399343781,3.787555571,3.645456067,2.939876433,4.130437934,8.370723258,6.846651398,3.137448864,8.02867526,3.055407408,6.226809048,6.450341296,8.58886344
COSMIC_910905,10.31086575,3.334433564,10.80680754,5.6682771,3.221873106,3.318042839,3.62535232,8.074814018,7.65832469,4.455017674,3.899730322,7.398449416,3.741152449,4.975279307,4.052478844,8.207979815,8.87036481,4.140234104,3.518360143,6.738394028,5.067935826,7.343627835,4.362407641,3.083560145,3.165682086,3.979853388,4.597682692,4.930904488,4.697655511,8.973653967,3.025799325,2.996360881,6.522256908,3.660807435,3.476233319,3.277350344,5.57725937,3.598244615,5.179889166,8.845362871,3.261074716,2.951807209,9.14664197,4.071430632,7.567612891,3.261165156,5.968257734,5.118778632,7.171944851,8.36328237,5.70262436,4.145273067,5.561564213,4.882087459,3.036293082,3.33171342,10.99888599,3.505017279,3.395327365,2.968381116,2.972473502,2.997402795,7.176395452,5.891297281,6.790927476,3.373192665,3.098857999,6.731511281,4.604418988,4.221926412,6.171207764,8.752654244,12.53517354,4.115888238,4.636008089,10.21399884,3.208434539,2.660621957,4.260928053,6.586966155,7.835770085,5.670760521,4.711384611,3.805234036,4.118098291,3.014323702,3.503008988,5.847010504,3.790045046,3.499506555,2.895225679,4.180959573,6.942725271,3.514262117,3.246376171,8.24817502,3.529614192,6.961247618,7.988964205,9.112988152
